Season,Team,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary,Champion?
2002,Brooklyn Nets,82,52,30,0.634,48.4,96.2,37.1,83.1,44.6,4.9,14.6,33.8,17.1,23.3,73.5,12.7,30.7,43.3,24.3,14.5,8.7,6,5.4,21.1,0.1,4.2,"$75,193,712",0
2001,Brooklyn Nets,82,26,56,0.317,48.1,92.1,33.9,79.9,42.5,4.4,13.2,33.3,19.9,26.2,75.9,11.1,28.5,39.6,19.5,14.7,7.9,5,6.4,24.2,0,-5,"$68,977,578",0
2000,Brooklyn Nets,82,31,51,0.378,48.4,98,36.3,83.9,43.3,5.8,16.8,34.7,19.5,24.9,78.4,12.7,28.2,40.9,20.6,13.6,8.8,4.8,5.7,23.3,2.4,-1,"$53,245,461",0
1999,Brooklyn Nets,50,16,34,0.32,48.2,91.4,33.8,83.2,40.6,4.5,13.6,33.1,19.2,25,76.9,14.3,28.7,43,18.5,15,9.8,5.5,6.5,22.7,0.2,-3.8,"$43,735,000",0
1998,Brooklyn Nets,82,43,39,0.524,48.5,99.6,37.3,84.5,44.1,3.8,11.4,33.1,21.3,28.7,74.4,16.4,26.1,42.5,20.5,14.4,9.5,3.8,6.3,23.4,0.3,1.6,"$28,504,567",0
1997,Brooklyn Nets,82,26,56,0.317,48.2,97.2,36.5,86.5,42.2,5.9,16.7,35.3,18.3,24.8,74,17.2,29,46.2,21,15.7,8.3,5.9,6.3,22.7,0.2,-4.6,"$25,426,600",0
2022,Charlotte Hornets,12,5,7,0.417,48.8,114.3,42.5,95.1,44.7,13.5,35.9,37.6,15.8,21.6,73,11.7,32.9,44.6,25.8,13.6,9.2,4.8,5.4,19,19.3,-4.1,"$117,829,363",
2021,Charlotte Hornets,72,33,39,0.458,48.2,109.5,39.9,87.8,45.5,13.7,37,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,14.8,7.8,4.8,4.8,18,18.6,-1.9,"$108,218,809",0
2020,Charlotte Hornets,65,23,42,0.354,48.5,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11,31.8,42.8,23.8,14.6,6.6,4.1,5,18.8,20.6,-6.8,"$96,552,033",0
2019,Charlotte Hornets,82,39,43,0.476,48.4,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,12.2,7.2,4.9,6,18.9,20.6,-1.1,"$121,427,859",0
2018,Charlotte Hornets,82,39,43,0.476,48.4,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,12.2,7.2,4.9,6,18.9,20.6,-1.1,"$117,382,664",0
2017,Charlotte Hornets,82,36,46,0.439,48.4,104.9,37.7,85.4,44.2,10,28.6,35.1,19.4,23.8,81.5,8.8,34.8,43.6,23.1,11.5,7,4.8,5.5,16.6,19.9,0.2,"$103,054,004",0
2016,Charlotte Hornets,82,48,34,0.585,48.4,103.4,37,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79,9,35,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7,"$76,860,006",0
2015,Charlotte Hornets,82,33,49,0.402,48.5,94.2,35.5,84.5,42,6.1,19.1,31.8,17,22.8,74.8,10,34.1,44.1,20.2,11.9,6.1,5.5,5.4,18.2,20.8,-3.2,"$66,792,937",0
2014,Charlotte Hornets,82,43,39,0.524,48.5,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18,24.4,73.7,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9,-0.2,"$60,395,651",0
2013,Charlotte Hornets,82,21,61,0.256,48.3,93.4,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75,11.2,29.1,40.3,19.4,14.1,7.2,5.8,6.9,19,21.3,-9.2,"$58,122,566",0
2012,Charlotte Hornets,66,7,59,0.106,48.2,87,33.2,80.2,41.4,4,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39,20.1,14.5,6,5.5,5.7,18.9,20.3,-13.9,"$57,902,024",0
2011,Charlotte Hornets,82,34,48,0.415,48.3,93.3,35,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6,20,21.1,-4,"$66,542,696",0
2010,Charlotte Hornets,82,44,38,0.537,48.5,95.3,34.9,76.9,45.3,5.6,16.2,34.6,20,26.6,75.1,10.5,30.4,40.8,20.2,15.7,7.7,5.4,6.1,19.5,22,1.5,"$68,681,758",0
2009,Charlotte Hornets,82,35,47,0.427,48.6,93.6,35,76.8,45.5,6,16.3,36.6,17.7,24,74,10.8,28.9,39.7,21.2,15.6,7.1,4.8,6,21.4,20.9,-1.3,"$62,866,926",0
2008,Charlotte Hornets,82,32,50,0.39,48.5,97.1,36.1,79.9,45.2,6.5,17.6,36.7,18.4,25.8,71.4,10.9,29.8,40.6,21.3,14.7,7.5,4.9,5.8,21.7,21,-4.4,"$53,745,468",0
2007,Charlotte Hornets,82,33,49,0.402,48.8,96.9,36.1,81,44.6,5.6,15.6,35.7,19.1,26,73.4,11.2,28.6,39.8,22.4,14.9,7.8,4.5,5.3,24.2,21.8,-3.7,"$41,964,046",0
2006,Charlotte Hornets,82,26,56,0.317,48.5,96.9,36.1,83.5,43.3,5.2,15.4,33.9,19.4,26.7,72.9,12.1,27.7,39.8,20.9,14.2,10,4.3,5.4,23.9,23.5,-4,"$33,458,932",0
2005,Charlotte Hornets,82,18,64,0.22,48.5,94.3,36.1,83.6,43.2,3.9,10.7,36.3,18.1,25.6,70.9,13.2,28.5,41.7,21.9,14.5,8.5,5.4,5.4,23.1,0,-6,"$23,922,578",0
2002,Charlotte Hornets,82,44,38,0.537,48.2,93.9,35.3,80.2,44,4.2,12.1,34.8,19.1,25.7,74.5,12.9,30.5,43.5,21.5,14,8,5.6,5.1,21.3,0.2,1,"$49,999,445",0
2001,Charlotte Hornets,82,46,36,0.561,48.5,91.9,34.1,79.3,43.1,4.1,12,34.6,19.5,26.2,74.5,12.6,31.8,44.4,23.2,14.4,8.1,5.5,4.6,21.4,0.1,2.1,"$46,441,558",0
2000,Charlotte Hornets,82,49,33,0.598,48.2,98.4,35.8,79.7,44.9,4.1,12.2,33.9,22.7,30,75.8,10.8,32.1,42.9,24.7,14.7,8.9,5.9,5.1,20.4,2.2,2.7,"$38,619,012",0
1999,Charlotte Hornets,50,26,24,0.52,48.6,92.9,33.4,74.4,44.9,5.4,14.7,36.5,20.7,27.7,74.7,9.6,29.9,39.5,22.2,15.9,8.9,4.9,4.6,22,0.1,-0.1,"$30,452,000",0
1998,Charlotte Hornets,82,51,31,0.622,48.2,96.6,36.2,77.4,46.8,4.2,11,38.3,20,26.7,75.1,12,28.5,40.6,23.7,15.2,8.4,3.8,4.5,21.4,0.3,2,"$27,006,013",0
1997,Charlotte Hornets,82,54,28,0.659,48.3,98.9,36.4,77.3,47.1,7.2,16.9,42.8,18.8,24.2,77.7,11.1,28,39.1,24.6,14.7,7.3,4.3,4.1,20.8,0.2,1.9,"$20,975,500",0
2022,Chicago Bulls,10,7,3,0.7,48,108.9,40.3,87.3,46.2,9.5,26.9,35.3,18.8,21.9,85.8,9.4,35.2,44.6,22.9,12.5,8.8,5.4,5,17.5,18.1,7,"$134,488,478",
2021,Chicago Bulls,72,31,41,0.431,48.3,110.7,42.2,88.6,47.6,12.6,34,37,13.8,17.5,79.1,9.6,35.3,45,26.8,15.1,6.7,4.2,5.1,18.9,17.7,-0.9,"$128,963,580",0
2020,Chicago Bulls,65,22,43,0.338,48.2,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,15.5,10,4.1,5.9,21.8,19.2,-3.1,"$112,601,901",0
2019,Chicago Bulls,82,22,60,0.268,48.5,104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,14.1,7.4,4.3,5.8,20.3,18.7,-8.4,"$112,598,201",0
