Season,Team,Champion?,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary
2007,San Antonio Spurs,1,82,58,24,0.707,48.2,98.5,36.6,77.2,47.4,7.3,19,38.1,18.1,24.1,75.1,9.3,31.4,40.7,22.1,13.9,7.2,5.1,4.1,19.4,21.2,8.4,65654320
2006,San Antonio Spurs,0,82,63,19,0.768,48.3,95.6,36.5,77.3,47.2,6.4,16.6,38.5,16.2,23.1,70.2,10.4,31.1,41.5,20.9,13.7,6.6,5.7,4.2,20.9,20.6,6.8,63570274
2005,San Antonio Spurs,1,82,59,23,0.72,48.3,96.2,35.6,78.7,45.3,6.2,17,36.3,18.7,25.9,72.4,12,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0,7.8,47504123
2004,San Antonio Spurs,0,82,57,25,0.695,48.2,91.5,34.7,78.5,44.2,5,13.9,35.8,17.2,25.2,68.1,12.5,32.5,45.1,20.4,14.7,8.1,6.5,4.6,20.3,0,7.2,46464064
2003,San Antonio Spurs,1,82,60,22,0.732,48.4,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20,15.8,7.7,6.5,5.1,20.4,0,5.4,53182559
2002,San Antonio Spurs,0,82,58,24,0.707,48.4,96.7,35.5,77.6,45.8,5.3,14.8,36.2,20.3,27.4,74.2,11.1,31.3,42.4,20,14.4,7.6,6.5,5.2,19.2,0.1,6.2,45844814
2001,San Antonio Spurs,0,82,58,24,0.707,48.4,96.2,35.2,76.4,46.1,5.4,13.3,40.7,20.4,28.5,71.5,11,33.1,44.1,21.7,14,6.9,7,5.2,18.9,0,7.8,57215938
2000,San Antonio Spurs,0,82,53,29,0.646,48.4,96.2,36,78,46.2,4,10.8,37.4,20.1,27,74.6,11.3,32.5,43.8,22.2,15,7.5,6.7,5.2,20.9,2,5.9,42529801
1999,San Antonio Spurs,1,50,37,13,0.74,48.3,92.8,34.8,76.2,45.6,3.4,10.4,33,19.8,28.3,69.8,12.3,31.7,44,22,15.2,8.4,7,4.9,20.2,0.1,8.1,43681143
1998,San Antonio Spurs,0,82,56,26,0.683,48.4,92.5,35.3,75.5,46.8,3.7,10.5,35,18.2,26.4,68.8,12,32.2,44.2,22.4,16.1,6.3,6.9,4.6,21.1,0.2,4,38846163
1997,San Antonio Spurs,0,82,20,62,0.244,48.1,90.5,34.5,77.9,44.2,4.6,14.4,32,16.9,23.5,71.9,13.4,26,39.4,20.3,15.2,7.9,5.3,5.5,21.5,0.2,-7.9,30785500
2022,Toronto Raptors,,11,6,5,0.545,48,104.7,40.1,92.4,43.4,10.6,32,33.2,13.9,18.2,76.5,13.7,32.5,46.3,20.2,12.8,10.9,4.2,5.9,18.9,17.3,2.9,137322757
2021,Toronto Raptors,0,72,27,45,0.375,48.1,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,13.2,8.6,5.4,5.6,21.2,19.5,-0.5,129131910
2020,Toronto Raptors,0,72,53,19,0.736,48.3,112.8,40.2,87.9,45.8,13.8,37,37.4,18.5,23.2,79.6,9.5,35.9,45.4,25.2,14.8,8.8,5,5.5,21.7,20.4,6.2,122463495
2019,Toronto Raptors,0,82,58,24,0.707,48.5,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22,80.4,9.6,35.6,45.2,25.4,14,8.3,5.3,4.5,21,20.5,6.1,137793831
2018,Toronto Raptors,0,82,58,24,0.707,48.5,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22,80.4,9.6,35.6,45.2,25.4,14,8.3,5.3,4.5,21,20.5,6.1,116929373
